ID,From,To,Location,Description,新郎,新娘,姊妹,兄弟,Crew,四大長老,Material,Check Point
1,4:30,4:45,,,,,,,,,,
2,4:45,5:00,觀塘女家,新娘化妝,,"開始化妝
派利是給新娘化妝師Idy",,,[化妝] 新娘化妝,,新娘化妝師Idy利是 ,
3,5:00,5:15,觀塘女家,,,,,,,,,
4,5:15,5:30,觀塘女家,,,,,,,,,
5,5:30,5:45,觀塘女家,姊妹化妝 (batch 1),,,"[Yvonne, Raj] 開始化妝 - batch 1 ",,[化妝] 姊妹化妝,[女家媽媽] 派利是給化妝師,"姊妹手花 x2
[女家媽媽] 姊妹化妝師利是 x 2 + 新娘化妝師Idy利是
[新娘] 姊妹化妝師利是 x 2 ",
6,5:45,6:00,觀塘女家,,,,,,,,,
7,6:00,6:15,觀塘女家,,,,,,,,,
8,6:15,6:30,觀塘女家,姊妹化妝 (batch 2),,,"[Nicole, Joanna] 開始化妝 - batch 2",,[化妝] 姊妹化妝,,姊妹手花 x2,
9,6:30,6:45,觀塘女家,,,,,,,,,
10,6:45,7:00,觀塘女家,,,,,,,,,
11,7:00,7:15,觀塘女家,姊妹化妝 (batch 3),,,"[Vivien, Kristy] 開始化妝 - batch 3",,[化妝] 姊妹化妝,,姊妹手花 x2,
12,7:15,7:30,觀塘女家,,,,,,,,,
13,7:30,7:45,觀塘女家,拍攝金器雜件,,"化妝完成
派利是給攝影師","所有姊妹化妝完成
[Vicx] 到達",,[攝影] 拍攝金器雜件,[女家媽媽] 派利是給攝影師,"攝影利是 x 3 X 2
姊妹手花 x 1",
14,7:45,8:00,觀塘女家,"拍攝新娘, 姊妹","新郎set頭
派利是給保安
派利是給化妝師
拎兄弟襟花 + 花球","拍攝新娘, 姊妹","拍攝新娘, 姊妹",[Julius] set頭,"[攝影] 拍攝新娘, 姊妹
[化妝] 新郎,兄弟set頭",,"化妝師利是 x 2 + Idy
保安利是 x 1
兄弟襟花 x 7",
15,8:00,8:15,觀塘女家,新娘穿掛 (姊妹穿下掛 + 女家媽媽穿上掛),,穿掛,穿下掛,,[攝影] 拍攝穿掛,[女家媽媽] 穿上掛,掛,
16,8:15,8:30,觀塘女家,新娘派利是給姊妹,,派利是給姊妹,新娘派利是給姊妹,,[攝影] 新娘派利是給姊妹,,姊妹利是 x 7,
